product_name,category,sub_category,total_sales,total_profit,units_sold,avg_discount
Cubify CubeX 3D Printer Double Head Print,Technology,Machines,11099.96,-8879.97,9,0.53
Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,16829.9,-4589.97,18,0.4
Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,7999.98,-3839.99,4,0.5
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,9917.64,-2876.12,27,0.28
Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,9544.73,-1934.4,33,0.35
GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,17965.07,-1878.17,27,0.45
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,22638.48,-1811.08,6,0.5
Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,16656.2,-1299.18,22,0.1
Balt Solid Wood Round Tables,Furniture,Tables,6518.75,-1201.06,19,0.2
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables,1706.25,-1148.44,15,0.48
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Furniture,Tables,4446.18,-1147.4,25,0.3
Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,Technology,Machines,1212.71,-1057.23,10,0.55
Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs,5282.42,-989.05,24,0.22
O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,2740.2,-975.1,37,0.42
Bretford Just In Time Height-Adjustable Multi-Task Work Tables,Furniture,Tables,5634.9,-964.19,17,0.23
